start_location,end_location,distance_meters,duration_seconds,duration_minutes,num_steps,directions
p3 faculty block,I2 boys hostel,2209.3,406.4,6.8,6,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (276m) | Arrive at your destination
p3 faculty block,k2 girls hostel,1480.5,339.0,5.7,5,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (147m) | Arrive at your destination
p3 faculty block,k3 girls hostel,2392.4,432.8,7.2,6,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (459m) | Arrive at your destination
p3 faculty block,k4 girls hostel,2417.9,436.5,7.3,6,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (484m) | Arrive at your destination
p3 faculty block,dh1&2,2220.3,408.0,6.8,6,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Arrive at your destination
p3 faculty block,dh3,2260.9,413.8,6.9,6,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (327m) | Arrive at your destination
p3 faculty block,dh4,2293.9,418.6,7.0,6,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (360m) | Arrive at your destination
p3 faculty block,beta cluster,2092.5,389.6,6.5,6,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (159m) | Arrive at your destination
p3 faculty block,eta cluster,2204.9,412.0,6.9,7,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (57m) | Arrive at your destination
p3 faculty block,gama cluster,2252.4,418.8,7.0,7,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (105m) | Arrive at your destination
p3 faculty block,kappa cluster,2400.1,439.5,7.3,7,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Turn left (179m) | Arrive at your destination
p3 faculty block,lambda cluster,2412.5,441.9,7.4,8,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (209m) | Turn right (55m) | Arrive at your destination
p3 faculty block,mue cluster,2655.0,446.2,7.4,7,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (883m) | Turn right (317m) | Turn right (121m) | Arrive at your destination
p3 faculty block,omega cluster,2650.8,444.1,7.4,7,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (883m) | Turn right (427m) | Turn right (7m) | Arrive at your destination
p3 faculty block,nuzvid gate,1162.9,281.6,4.7,4,Start heading right (687m) | Turn right (261m) | Turn right (214m) | Arrive at your destination
p3 faculty block,sklm gate,2586.9,434.7,7.2,6,Start heading right (687m) | Turn right (128m) | Turn right (517m) | End of road left on Nuzividu - Mylavaram Road (883m) | Turn right (371m) | Arrive at your destination
central library,academic block 1(ab1),403.1,102.2,1.7,3,Start heading straight (291m) | Turn left (111m) | Arrive at your destination
central library,academic block2(ab2),172.7,41.5,0.7,2,Start heading straight (172m) | Arrive at your destination
central library,academic block 3(ab3),139.7,33.6,0.6,2,Start heading straight (139m) | Arrive at your destination
central library,I3 adminstrative block,403.1,102.2,1.7,3,Start heading straight (291m) | Turn left (111m) | Arrive at your destination
central library,chancellor office,403.1,102.2,1.7,3,Start heading straight (291m) | Turn left (111m) | Arrive at your destination
central library,p1 faculty block,403.1,102.2,1.7,3,Start heading straight (291m) | Turn left (111m) | Arrive at your destination
central library,p2 faculty block,403.1,102.2,1.7,3,Start heading straight (291m) | Turn left (111m) | Arrive at your destination
central library,p3 faculty block,1585.4,387.9,6.5,4,Start heading straight (636m) | End of road left (261m) | End of road left (687m) | Arrive at your destination
central library,sac,30.0,7.3,0.1,2,Start heading straight (30m) | Arrive at your destination
central library,food court,1561.6,331.4,5.5,6,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (311m) | Arrive at your destination
central library,boys mess,1620.8,334.6,5.6,6,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (370m) | Arrive at your destination
central library,girls mess,1431.4,324.1,5.4,6,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (181m) | Arrive at your destination
central library,sbi,1421.3,323.6,5.4,6,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (171m) | Arrive at your destination
central library,nuzvid clinic,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
central library,yoga shala,1484.4,327.1,5.5,6,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (234m) | Arrive at your destination
central library,k2 ground,1677.0,337.7,5.6,6,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (427m) | Arrive at your destination
central library,I1 boys hostel,2077.9,382.6,6.4,7,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (227m) | Arrive at your destination
central library,I2 boys hostel,2126.5,389.7,6.5,7,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (276m) | Arrive at your destination
central library,k2 girls hostel,1397.7,322.3,5.4,6,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (147m) | Arrive at your destination
central library,k3 girls hostel,2309.6,416.1,6.9,7,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (459m) | Arrive at your destination
central library,k4 girls hostel,2335.1,419.8,7.0,7,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (484m) | Arrive at your destination
central library,dh1&2,2137.6,391.3,6.5,7,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Arrive at your destination
central library,dh3,2178.2,397.1,6.6,7,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (327m) | Arrive at your destination
central library,dh4,2211.1,401.9,6.7,7,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (360m) | Arrive at your destination
central library,beta cluster,2009.7,372.9,6.2,7,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (159m) | Arrive at your destination
central library,eta cluster,2122.1,395.3,6.6,8,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (57m) | Arrive at your destination
central library,gama cluster,2169.7,402.1,6.7,8,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (105m) | Arrive at your destination
central library,kappa cluster,2317.3,422.8,7.0,8,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Turn left (179m) | Arrive at your destination
central library,lambda cluster,2329.7,425.2,7.1,9,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (209m) | Turn right (55m) | Arrive at your destination
central library,mue cluster,2572.2,429.5,7.2,8,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (317m) | Turn right (121m) | Arrive at your destination
central library,omega cluster,2568.0,427.4,7.1,8,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (427m) | Turn right (7m) | Arrive at your destination
central library,nuzvid gate,422.5,101.5,1.7,2,Start heading straight (422m) | Arrive at your destination
central library,sklm gate,2504.1,418.0,7.0,7,Start heading straight (636m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (371m) | Arrive at your destination
sac,academic block 1(ab1),373.2,94.9,1.6,3,Start heading right (261m) | Turn left (111m) | Arrive at your destination
sac,academic block2(ab2),142.8,34.2,0.6,2,Start heading right (142m) | Arrive at your destination
sac,academic block 3(ab3),109.7,26.3,0.4,2,Start heading right (109m) | Arrive at your destination
sac,I3 adminstrative block,373.2,94.9,1.6,3,Start heading right (261m) | Turn left (111m) | Arrive at your destination
sac,chancellor office,373.2,94.9,1.6,3,Start heading right (261m) | Turn left (111m) | Arrive at your destination
sac,p1 faculty block,373.2,94.9,1.6,3,Start heading right (261m) | Turn left (111m) | Arrive at your destination
sac,p2 faculty block,373.2,94.9,1.6,3,Start heading right (261m) | Turn left (111m) | Arrive at your destination
sac,p3 faculty block,1555.4,380.6,6.3,4,Start heading right (606m) | End of road left (261m) | End of road left (687m) | Arrive at your destination
sac,central library,30.0,7.3,0.1,2,Start heading left (30m) | Arrive at your destination
sac,food court,1531.6,324.1,5.4,6,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (311m) | Arrive at your destination
sac,boys mess,1590.8,327.3,5.5,6,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (370m) | Arrive at your destination
sac,girls mess,1401.5,316.8,5.3,6,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (181m) | Arrive at your destination
sac,sbi,1391.4,316.3,5.3,6,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (171m) | Arrive at your destination
sac,nuzvid clinic,30.0,7.3,0.1,2,Start heading left (30m) | Arrive at your destination
sac,yoga shala,1454.5,319.8,5.3,6,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (234m) | Arrive at your destination
sac,k2 ground,1647.0,330.4,5.5,6,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (427m) | Arrive at your destination
sac,I1 boys hostel,2047.9,375.3,6.3,7,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (227m) | Arrive at your destination
sac,I2 boys hostel,2096.5,382.4,6.4,7,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (276m) | Arrive at your destination
sac,k2 girls hostel,1367.8,315.0,5.2,6,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (147m) | Arrive at your destination
sac,k3 girls hostel,2279.7,408.8,6.8,7,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (459m) | Arrive at your destination
sac,k4 girls hostel,2305.2,412.5,6.9,7,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (484m) | Arrive at your destination
sac,dh1&2,2107.6,384.0,6.4,7,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Arrive at your destination
sac,dh3,2148.2,389.8,6.5,7,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (327m) | Arrive at your destination
sac,dh4,2181.1,394.6,6.6,7,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (360m) | Arrive at your destination
sac,beta cluster,1979.8,365.6,6.1,7,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (159m) | Arrive at your destination
sac,eta cluster,2092.1,388.0,6.5,8,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (57m) | Arrive at your destination
sac,gama cluster,2139.7,394.8,6.6,8,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (105m) | Arrive at your destination
sac,kappa cluster,2287.3,415.5,6.9,8,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Turn left (179m) | Arrive at your destination
sac,lambda cluster,2299.7,417.9,7.0,9,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (209m) | Turn right (55m) | Arrive at your destination
sac,mue cluster,2542.3,422.2,7.0,8,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (317m) | Turn right (121m) | Arrive at your destination
sac,omega cluster,2538.0,420.1,7.0,8,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (427m) | Turn right (7m) | Arrive at your destination
sac,nuzvid gate,392.5,94.2,1.6,2,Start heading right (392m) | Arrive at your destination
sac,sklm gate,2474.2,410.7,6.8,7,Start heading right (606m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (371m) | Arrive at your destination
food court,academic block 1(ab1),1381.7,281.9,4.7,7,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
food court,academic block2(ab2),1388.8,281.9,4.7,6,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (463m) | Arrive at your destination
food court,academic block 3(ab3),1421.9,289.8,4.8,6,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (496m) | Arrive at your destination
food court,I3 adminstrative block,1381.7,281.9,4.7,7,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
food court,chancellor office,1381.7,281.9,4.7,7,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
food court,p1 faculty block,1381.7,281.9,4.7,7,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
food court,p2 faculty block,1381.7,281.9,4.7,7,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
food court,p3 faculty block,1644.4,351.9,5.9,5,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (517m) | Turn left (128m) | Turn left (687m) | Arrive at your destination
food court,central library,1561.6,323.4,5.4,6,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (636m) | Arrive at your destination
food court,sac,1531.6,316.1,5.3,6,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (606m) | Arrive at your destination
food court,boys mess,59.2,3.2,0.1,2,Start heading  on Nuzividu - Mylavaram Road (59m) | Arrive at your destination
food court,girls mess,130.1,7.3,0.1,2,Start heading  on Nuzividu - Mylavaram Road (130m) | Arrive at your destination
food court,sbi,140.3,7.8,0.1,2,Start heading  on Nuzividu - Mylavaram Road (140m) | Arrive at your destination
food court,nuzvid clinic,1561.6,323.4,5.4,6,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (636m) | Arrive at your destination
food court,yoga shala,77.1,4.3,0.1,2,Start heading  on Nuzividu - Mylavaram Road (77m) | Arrive at your destination
food court,k2 ground,115.4,6.3,0.1,2,Start heading  on Nuzividu - Mylavaram Road (115m) | Arrive at your destination
food court,I1 boys hostel,516.3,51.2,0.9,3,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (227m) | Arrive at your destination
food court,I2 boys hostel,564.9,58.3,1.0,3,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (276m) | Arrive at your destination
food court,k2 girls hostel,163.8,9.1,0.2,2,Start heading  on Nuzividu - Mylavaram Road (163m) | Arrive at your destination
food court,k3 girls hostel,748.1,84.7,1.4,3,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (459m) | Arrive at your destination
food court,k4 girls hostel,773.6,88.4,1.5,3,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (484m) | Arrive at your destination
food court,dh1&2,576.0,59.9,1.0,3,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (287m) | Arrive at your destination
food court,dh3,616.6,65.7,1.1,3,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (327m) | Arrive at your destination
food court,dh4,649.5,70.5,1.2,3,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (360m) | Arrive at your destination
food court,beta cluster,448.2,41.5,0.7,3,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (159m) | Arrive at your destination
food court,eta cluster,560.5,63.9,1.1,4,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (213m) | Turn left (57m) | Arrive at your destination
food court,gama cluster,608.1,70.7,1.2,4,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (213m) | Turn left (105m) | Arrive at your destination
food court,kappa cluster,755.7,91.4,1.5,4,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (287m) | Turn left (179m) | Arrive at your destination
food court,lambda cluster,768.1,93.8,1.6,5,Start heading  on Nuzividu - Mylavaram Road (288m) | Turn right (213m) | Turn left (209m) | Turn right (55m) | Arrive at your destination
food court,mue cluster,1010.6,98.1,1.6,4,Start heading  on Nuzividu - Mylavaram Road (571m) | Turn right (317m) | Turn right (121m) | Arrive at your destination
food court,omega cluster,1006.4,96.0,1.6,4,Start heading  on Nuzividu - Mylavaram Road (571m) | Turn right (427m) | Turn right (7m) | Arrive at your destination
food court,nuzvid gate,1139.1,221.9,3.7,6,Start heading  on Nuzividu - Mylavaram Road (311m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (214m) | Arrive at your destination
food court,sklm gate,942.6,86.6,1.4,3,Start heading  on Nuzividu - Mylavaram Road (571m) | Turn right (371m) | Arrive at your destination
boys mess,academic block 1(ab1),1440.8,285.1,4.8,7,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
boys mess,academic block2(ab2),1448.0,285.1,4.8,6,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (463m) | Arrive at your destination
boys mess,academic block 3(ab3),1481.1,293.0,4.9,6,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (496m) | Arrive at your destination
boys mess,I3 adminstrative block,1440.8,285.1,4.8,7,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
boys mess,chancellor office,1440.8,285.1,4.8,7,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
boys mess,p1 faculty block,1440.8,285.1,4.8,7,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
boys mess,p2 faculty block,1440.8,285.1,4.8,7,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
boys mess,p3 faculty block,1703.5,355.1,5.9,5,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (517m) | Turn left (128m) | Turn left (687m) | Arrive at your destination
boys mess,central library,1620.8,326.6,5.4,6,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (636m) | Arrive at your destination
boys mess,sac,1590.8,319.3,5.3,6,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (606m) | Arrive at your destination
boys mess,food court,59.2,3.2,0.1,2,Start heading left on Nuzividu - Mylavaram Road (59m) | Arrive at your destination
boys mess,girls mess,189.3,10.5,0.2,2,Start heading left on Nuzividu - Mylavaram Road (189m) | Arrive at your destination
boys mess,sbi,199.4,11.0,0.2,2,Start heading left on Nuzividu - Mylavaram Road (199m) | Arrive at your destination
boys mess,nuzvid clinic,1620.8,326.6,5.4,6,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (636m) | Arrive at your destination
boys mess,yoga shala,136.3,7.5,0.1,2,Start heading left on Nuzividu - Mylavaram Road (136m) | Arrive at your destination
boys mess,k2 ground,56.2,3.1,0.1,2,Start heading right on Nuzividu - Mylavaram Road (56m) | Arrive at your destination
boys mess,I1 boys hostel,457.1,48.0,0.8,3,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (227m) | Arrive at your destination
boys mess,I2 boys hostel,505.7,55.1,0.9,3,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (276m) | Arrive at your destination
boys mess,k2 girls hostel,223.0,12.3,0.2,2,Start heading left on Nuzividu - Mylavaram Road (223m) | Arrive at your destination
boys mess,k3 girls hostel,688.9,81.5,1.4,3,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (459m) | Arrive at your destination
boys mess,k4 girls hostel,714.4,85.2,1.4,3,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (484m) | Arrive at your destination
boys mess,dh1&2,516.8,56.7,0.9,3,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (287m) | Arrive at your destination
boys mess,dh3,557.4,62.5,1.0,3,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (327m) | Arrive at your destination
boys mess,dh4,590.3,67.3,1.1,3,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (360m) | Arrive at your destination
boys mess,beta cluster,389.0,38.3,0.6,3,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (159m) | Arrive at your destination
boys mess,eta cluster,501.3,60.7,1.0,4,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (213m) | Turn left (57m) | Arrive at your destination
boys mess,gama cluster,548.9,67.5,1.1,4,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (213m) | Turn left (105m) | Arrive at your destination
boys mess,kappa cluster,696.5,88.2,1.5,4,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (287m) | Turn left (179m) | Arrive at your destination
boys mess,lambda cluster,708.9,90.6,1.5,5,Start heading right on Nuzividu - Mylavaram Road (229m) | Turn right (213m) | Turn left (209m) | Turn right (55m) | Arrive at your destination
boys mess,mue cluster,951.5,94.9,1.6,4,Start heading right on Nuzividu - Mylavaram Road (512m) | Turn right (317m) | Turn right (121m) | Arrive at your destination
boys mess,omega cluster,947.2,92.8,1.5,4,Start heading right on Nuzividu - Mylavaram Road (512m) | Turn right (427m) | Turn right (7m) | Arrive at your destination
boys mess,nuzvid gate,1198.3,225.1,3.8,6,Start heading left on Nuzividu - Mylavaram Road (370m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (214m) | Arrive at your destination
boys mess,sklm gate,883.4,83.4,1.4,3,Start heading right on Nuzividu - Mylavaram Road (512m) | Turn right (371m) | Arrive at your destination
girls mess,academic block 1(ab1),1251.5,274.6,4.6,7,Start heading left on Nuzividu - Mylavaram Road (181m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
girls mess,academic block2(ab2),1258.7,274.6,4.6,6,Start heading left on Nuzividu - Mylavaram Road (181m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (463m) | Arrive at your destination
girls mess,academic block 3(ab3),1291.8,282.5,4.7,6,Start heading left on Nuzividu - Mylavaram Road (181m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (496m) | Arrive at your destination
girls mess,I3 adminstrative block,1251.5,274.6,4.6,7,Start heading left on Nuzividu - Mylavaram Road (181m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
girls mess,chancellor office,1251.5,274.6,4.6,7,Start heading left on Nuzividu - Mylavaram Road (181m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
girls mess,p1 faculty block,1251.5,274.6,4.6,7,Start heading left on Nuzividu - Mylavaram Road (181m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
girls mess,p2 faculty block,1251.5,274.6,4.6,7,Start heading left on Nuzividu - Mylavaram Road (181m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (345m) | Turn right (111m) | Arrive at your destination
girls mess,p3 faculty block,1514.2,344.6,5.7,5,Start heading left on Nuzividu - Mylavaram Road (181m) | Turn right (517m) | Turn left (128m) | Turn left (687m) | Arrive at your destination
girls mess,central library,1431.4,316.1,5.3,6,Start heading left on Nuzividu - Mylavaram Road (181m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (636m) | Arrive at your destination
girls mess,sac,1401.5,308.8,5.1,6,Start heading left on Nuzividu - Mylavaram Road (181m) | Turn right (411m) | Turn right (132m) | Turn right (69m) | Turn right (606m) | Arrive at your destination
girls mess,food court,130.1,7.3,0.1,2,Start heading right on Nuzividu - Mylavaram Road (130m) | Arrive at your destination
girls mess,boys mess,189.3,10.5,0.2,2,Start heading right on Nuzividu - Mylavaram Road (189m) | Arrive at your destination
girls mess,sbi,10.1,0.5,0.0,2,Start heading left on Nuzividu - Mylavaram Road (10m) | Arrive at your destination
